Transaction Date,Post Date,Description,Category,Type,Amount,Memo
2026-01-03,2026-01-04,WHOLE FOODS MKT #10234,Groceries,Sale,-67.23,
2026-01-05,2026-01-06,STARBUCKS STORE 29184,Fast Food,Sale,-6.75,
2026-01-07,2026-01-08,SHELL OIL 57442100000,Gas & Auto,Sale,-48.00,
2026-01-10,2026-01-11,AMAZON MKTPLACE PMTS,Shopping,Sale,-32.99,Office supplies
2026-01-12,2026-01-13,CITY WATER & SEWER,Utilities,Sale,-89.40,
2026-01-14,2026-01-15,CVS/PHARMACY #8841,Health & Pharmacy,Sale,-18.46,
2026-01-18,2026-01-19,SPOTIFY USA,Subscriptions,Sale,-10.99,
2026-01-20,2026-01-21,CHIPOTLE 2288,Dining,Sale,-14.82,
2026-01-22,2026-01-23,HOME DEPOT #4120,Home Improvement,Sale,-56.78,
2026-01-25,2026-01-26,REGAL CINEMAS #4412,Entertainment,Sale,-24.00,
2026-01-28,2026-01-29,AUTOMATIC PAYMENT - THANK YOU,Payment,Credit,450.00,
2026-02-02,2026-02-03,TRADER JOE'S #512,Groceries,Sale,-71.05,
2026-02-04,2026-02-05,UBER *TRIP HELP.UBER.COM,Travel,Sale,-23.40,
2026-02-06,2026-02-07,NETFLIX.COM,Entertainment,Sale,-15.49,
2026-02-08,2026-02-09,TST* OAK & ANCHOR,Dining,Sale,-58.20,Dinner out
2026-02-11,2026-02-12,TARGET T-2841 CITY CENTER,Shopping,Sale,-41.33,
2026-02-14,2026-02-15,CHASE ANNUAL MEMBERSHIP,Fees & Finance,Sale,-95.00,
2026-02-16,2026-02-17,PUBLIX #1044,Groceries,Sale,-38.67,
2026-02-19,2026-02-20,ATM WITHDRAWAL FEE,Fees & Finance,Sale,-3.00,
2026-02-22,2026-02-23,RETURN - AMAZON MKTPLACE PMTS,Shopping,Credit,12.50,
2026-02-25,2026-02-26,AUTOMATIC PAYMENT - THANK YOU,Payment,Credit,500.00,
